"filename", "language", "Markdown", "YAML", "Shell Script", "JSON", "Dart", "JavaScript", "Ruby", "Swift", "HTML", "C++", "PostCSS", "XML", "comment", "blank", "total"
"/Users/marie/Documents/GBO-Updated/lib/screens/home_screen.dart", "Dart", 0, 0, 0, 0, 530, 0, 0, 0, 0, 0, 0, 0, 48, 50, 628
"/Users/marie/Documents/GBO-Updated/lib/screens/kanban_board_screen.dart", "Dart", 0, 0, 0, 0, 712, 0, 0, 0, 0, 0, 0, 0, 19, 58, 789
"/Users/marie/Documents/GBO-Updated/lib/screens/login_screen.dart", "Dart", 0, 0, 0, 0, 1596, 0, 0, 0, 0, 0, 0, 0, 86, 135, 1817
"/Users/marie/Documents/GBO-Updated/lib/screens/managed_account_screen.dart", "Dart", 0, 0, 0, 0, 1815, 0, 0, 0, 0, 0, 0, 0, 10, 85, 1910
"/Users/marie/Documents/GBO-Updated/lib/screens/new_division_pools_screen.dart", "Dart", 0, 0, 0, 0, 2904, 0, 0, 0, 0, 0, 0, 0, 177, 232, 3313
"/Users/marie/Documents/GBO-Updated/lib/screens/obs_graphics_screen.dart", "Dart", 0, 0, 0, 0, 799, 0, 0, 0, 0, 0, 0, 0, 13, 54, 866
"/Users/marie/Documents/GBO-Updated/lib/screens/one_time_code_sign_in_screen.dart", "Dart", 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 10, 33, 383
"/Users/marie/Documents/GBO-Updated/lib/screens/player_management_screen.dart", "Dart", 0, 0, 0, 0, 921, 0, 0, 0, 0, 0, 0, 0, 24, 71, 1016
"/Users/marie/Documents/GBO-Updated/lib/screens/preset_management_screen.dart", "Dart", 0, 0, 0, 0, 585, 0, 0, 0, 0, 0, 0, 0, 15, 40, 640
"/Users/marie/Documents/GBO-Updated/lib/screens/preset_selection_screen.dart", "Dart", 0, 0, 0, 0, 1055, 0, 0, 0, 0, 0, 0, 0, 38, 80, 1173
"/Users/marie/Documents/GBO-Updated/lib/screens/profile_settings_screen.dart", "Dart", 0, 0, 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 7, 25, 472
"/Users/marie/Documents/GBO-Updated/lib/screens/rangliste_screen.dart", "Dart", 0, 0, 0, 0, 1238, 0, 0, 0, 0, 0, 0, 0, 58, 98, 1394
"/Users/marie/Documents/GBO-Updated/lib/screens/referee_dashboard_screen.dart", "Dart", 0, 0, 0, 0, 784, 0, 0, 0, 0, 0, 0, 0, 22, 49, 855
"/Users/marie/Documents/GBO-Updated/lib/screens/referee_games_screen.dart", "Dart", 0, 0, 0, 0, 401, 0, 0, 0, 0, 0, 0, 0, 26, 50, 477
"/Users/marie/Documents/GBO-Updated/lib/screens/referee_management_screen.dart", "Dart", 0, 0, 0, 0, 898, 0, 0, 0, 0, 0, 0, 0, 11, 43, 952
"/Users/marie/Documents/GBO-Updated/lib/screens/roster_creation_screen.dart", "Dart", 0, 0, 0, 0, 393, 0, 0, 0, 0, 0, 0, 0, 18, 31, 442
"/Users/marie/Documents/GBO-Updated/lib/screens/scoring_tablet_screen.dart", "Dart", 0, 0, 0, 0, 5839, 0, 0, 0, 0, 0, 0, 0, 281, 382, 6502
"/Users/marie/Documents/GBO-Updated/lib/screens/season_management_screen.dart", "Dart", 0, 0, 0, 0, 1123, 0, 0, 0, 0, 0, 0, 0, 49, 88, 1260
