Date : 2025-12-04 10:54:59
Directory : /Users/marie/Documents/GBO-Updated
Total : 362 files,  18888 codes, 912 comments, 1969 blanks, all 21769 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/marie/Documents/GBO-Updated/lib/screens/app_store_splash_screen.dart                                         | Dart         |        276 |         18 |         29 |        323 |
| /Users/marie/Documents/GBO-Updated/lib/screens/bulk_add_delegates_screen.dart                                       | Dart         |        327 |          2 |         27 |        356 |
| /Users/marie/Documents/GBO-Updated/lib/screens/bulk_add_players_screen.dart                                         | Dart         |        610 |         19 |         47 |        676 |
| /Users/marie/Documents/GBO-Updated/lib/screens/bulk_add_referees_screen.dart                                        | Dart         |        558 |         25 |         39 |        622 |
| /Users/marie/Documents/GBO-Updated/lib/screens/bulk_add_teams_screen.dart                                           | Dart         |        631 |         38 |         43 |        712 |
| /Users/marie/Documents/GBO-Updated/lib/screens/city_migration_screen.dart                                           | Dart         |        829 |         31 |        111 |        971 |
| /Users/marie/Documents/GBO-Updated/lib/screens/club_form_screen.dart                                                | Dart         |        575 |          4 |         35 |        614 |
| /Users/marie/Documents/GBO-Updated/lib/screens/club_management_screen.dart                                          | Dart         |        860 |         21 |         62 |        943 |
| /Users/marie/Documents/GBO-Updated/lib/screens/csv_player_processing_screen.dart                                    | Dart         |        372 |         24 |         37 |        433 |
| /Users/marie/Documents/GBO-Updated/lib/screens/custom_notification_screen.dart                                      | Dart         |      1,362 |         31 |        103 |      1,496 |
| /Users/marie/Documents/GBO-Updated/lib/screens/delegate_management_screen.dart                                      | Dart         |        758 |          9 |         36 |        803 |
| /Users/marie/Documents/GBO-Updated/lib/screens/division_pools_screen.dart                                           | Dart         |        278 |         13 |         39 |        330 |
| /Users/marie/Documents/GBO-Updated/lib/screens/donation_screen.dart                                                 | Dart         |        954 |         29 |         98 |      1,081 |
| /Users/marie/Documents/GBO-Updated/lib/screens/game_edit_screen.dart                                                | Dart         |        808 |         10 |         56 |        874 |
| /Users/marie/Documents/GBO-Updated/lib/screens/generate_sign_in_codes_screen.dart                                   | Dart         |        327 |         10 |         26 |        363 |
| /Users/marie/Documents/GBO-Updated/lib/screens/graphics_control_screen.dart                                         | Dart         |        594 |          6 |         46 |        646 |
| /Users/marie/Documents/GBO-Updated/lib/screens/home_screen.dart                                                     | Dart         |        530 |         48 |         50 |        628 |
| /Users/marie/Documents/GBO-Updated/lib/screens/kanban_board_screen.dart                                             | Dart         |        712 |         19 |         58 |        789 |
| /Users/marie/Documents/GBO-Updated/lib/screens/login_screen.dart                                                    | Dart         |      1,596 |         86 |        135 |      1,817 |
| /Users/marie/Documents/GBO-Updated/lib/screens/managed_account_screen.dart                                          | Dart         |      1,815 |         10 |         85 |      1,910 |
| /Users/marie/Documents/GBO-Updated/lib/screens/new_division_pools_screen.dart                                       | Dart         |      2,904 |        177 |        232 |      3,313 |
| /Users/marie/Documents/GBO-Updated/lib/screens/obs_graphics_screen.dart                                             | Dart         |        799 |         13 |         54 |        866 |
| /Users/marie/Documents/GBO-Updated/lib/screens/one_time_code_sign_in_screen.dart                                    | Dart         |        340 |         10 |         33 |        383 |
| /Users/marie/Documents/GBO-Updated/lib/screens/player_management_screen.dart                                        | Dart         |        921 |         24 |         71 |      1,016 |
| /Users/marie/Documents/GBO-Updated/lib/screens/preset_management_screen.dart                                        | Dart         |        585 |         15 |         40 |        640 |
| /Users/marie/Documents/GBO-Updated/lib/screens/preset_selection_screen.dart                                         | Dart         |      1,055 |         38 |         80 |      1,173 |
| /Users/marie/Documents/GBO-Updated/lib/screens/profile_settings_screen.dart                                         | Dart         |        440 |          7 |         25 |        472 |
| /Users/marie/Documents/GBO-Updated/lib/screens/rangliste_screen.dart                                                | Dart         |      1,238 |         58 |         98 |      1,394 |
| /Users/marie/Documents/GBO-Updated/lib/screens/referee_dashboard_screen.dart                                        | Dart         |        784 |         22 |         49 |        855 |
| /Users/marie/Documents/GBO-Updated/lib/screens/referee_games_screen.dart                                            | Dart         |        401 |         26 |         50 |        477 |
| /Users/marie/Documents/GBO-Updated/lib/screens/referee_management_screen.dart                                       | Dart         |        898 |         11 |         43 |        952 |
| /Users/marie/Documents/GBO-Updated/lib/screens/roster_creation_screen.dart                                          | Dart         |        393 |         18 |         31 |        442 |
| /Users/marie/Documents/GBO-Updated/lib/screens/scoring_tablet_screen.dart                                           | Dart         |      5,839 |        281 |        382 |      6,502 |
| /Users/marie/Documents/GBO-Updated/lib/screens/season_management_screen.dart                                        | Dart         |      1,123 |         49 |         88 |      1,260 |
